food,optimal_temp_c,humidity_percent,max_storage_days,category
Yogurt Local,4,88,27,Dairy
Jam Imported,6,75,179,Condiments
Noodles Sweet,6,83,3,Prepared Food
Pasta,3,85,11,Prepared Food
Duck Imported,1,86,4,Meat
Pickle,5,75,186,Condiments
Cake Organic,21,59,6,Bakery
Goat Local,2,85,10,Meat
Plum Local,2,88,18,Fruit
Pork Organic,-1,89,11,Meat
Sauce Sweet,2,65,183,Condiments
Bun Organic,21,61,9,Bakery
Frozen Peas Local,-16,63,317,Frozen
Sandwich Premium,6,86,7,Prepared Food
Yogurt Organic,2,80,17,Dairy
Pork Local,-1,91,4,Meat
Frozen Corn Sweet,-20,55,329,Frozen
Crab Premium,-1,99,0,Seafood
Cream,3,83,24,Dairy
Goat Spicy,-1,91,8,Meat
Frozen Chicken Organic,-19,62,325,Frozen
Lobster Premium,-2,94,3,Seafood
Milk Organic,4,85,30,Dairy
Pasta Premium,4,86,7,Prepared Food
Spinach,-1,92,17,Vegetable
Apple Imported,4,89,21,Fruit
Yogurt,5,84,25,Dairy
Onion Premium,2,93,22,Vegetable
Yogurt,4,84,30,Dairy
Apple Spicy,2,86,27,Fruit
Carrot Imported,1,93,24,Vegetable
Frozen Chicken Local,-19,61,317,Frozen
Wheat Sweet,19,58,198,Grains
Lamb Spicy,-2,90,7,Meat
Milk Fresh,3,89,19,Dairy
Jam,4,66,184,Condiments
Millet Organic,20,65,207,Grains
Bread Spicy,20,58,3,Bakery
Sardine Premium,-3,91,9,Seafood
Barley Local,19,59,199,Grains
Cake Spicy,19,56,6,Bakery
Pasta Spicy,2,87,9,Prepared Food
Oats,19,55,205,Grains
Noodles Sweet,5,85,9,Prepared Food
Millet,22,64,202,Grains
Broccoli Organic,0,95,12,Vegetable
Salmon Fresh,-1,100,3,Seafood
Ketchup,4,66,187,Condiments
Sandwich Fresh,3,83,10,Prepared Food
Millet Organic,18,65,206,Grains
Pastry Local,22,57,13,Bakery
Cake Spicy,22,61,5,Bakery
Chicken,-2,90,5,Meat
Plum Premium,5,94,21,Fruit
Cake Spicy,21,61,14,Bakery
Soup Organic,5,82,12,Prepared Food
Frozen Pizza Fresh,-18,55,328,Frozen
Curry Spicy,3,87,6,Prepared Food
Bun Imported,18,56,2,Bakery
Pasta Spicy,4,86,5,Prepared Food
Salmon Sweet,1,93,5,Seafood
Donut Organic,22,64,3,Bakery
Cream Fresh,4,80,29,Dairy
Pasta Premium,3,80,6,Prepared Food
Apple Premium,5,94,28,Fruit
Bread Imported,21,63,10,Bakery
Ketchup Organic,3,66,183,Condiments
Pickle,2,75,189,Condiments
Frozen Corn Local,-20,56,326,Frozen
Pear Spicy,5,93,20,Fruit
Jam Fresh,3,74,187,Condiments
Milk Organic,2,88,29,Dairy
Millet,22,55,210,Grains
Cream Local,3,82,28,Dairy
Oats Sweet,20,62,203,Grains
Jam Sweet,4,65,177,Condiments
Yogurt Organic,5,89,17,Dairy
Tuna Imported,1,94,9,Seafood
Mango Imported,3,87,16,Fruit
Frozen Pizza Imported,-19,59,328,Frozen
Crab Local,-3,95,8,Seafood
Mayonnaise Local,2,74,181,Condiments
Beef Spicy,2,89,14,Meat
Plum Local,5,91,24,Fruit
Frozen Peas Local,-20,65,324,Frozen
Duck Local,0,87,10,Meat
Donut Organic,19,55,9,Bakery
Paneer,2,81,30,Dairy
Soup Fresh,2,88,3,Prepared Food
Goat Imported,-1,94,6,Meat
Millet Organic,20,62,207,Grains
Rice,19,63,203,Grains
Jam Local,5,71,184,Condiments
Bun Local,20,58,9,Bakery
Quinoa,22,58,205,Grains
Bread Spicy,22,60,3,Bakery
Bread Premium,20,65,5,Bakery
Orange Fresh,4,88,23,Fruit
Rice Fresh,20,62,198,Grains
Bun Organic,18,57,6,Bakery
Ketchup,4,65,178,Condiments
Tomato Fresh,0,96,16,Vegetable
Soup Premium,3,90,10,Prepared Food
Peach Organic,3,86,27,Fruit
Pickle Fresh,4,74,186,Condiments
Sauce Sweet,4,73,180,Condiments
Quinoa Organic,18,62,209,Grains
Crab Fresh,-2,90,11,Seafood
Fried Rice,3,86,3,Prepared Food
Jam Premium,6,74,179,Condiments
Milk Imported,2,85,21,Dairy
Millet Local,20,60,209,Grains
Beef Local,2,95,5,Meat
Sandwich Premium,5,83,9,Prepared Food
Frozen Chicken,-19,60,327,Frozen
Noodles Organic,3,90,4,Prepared Food
Milk Fresh,3,87,24,Dairy
Pear Organic,4,90,25,Fruit
Salmon Spicy,1,93,0,Seafood
Banana Spicy,4,91,25,Fruit
Noodles Organic,3,85,12,Prepared Food
Tuna Sweet,-3,92,13,Seafood
Pastry Local,21,61,4,Bakery
Spinach,1,97,25,Vegetable
Turkey Sweet,2,94,14,Meat
Frozen Chicken Fresh,-20,65,318,Frozen
Pickle Imported,6,66,188,Condiments
Tuna Organic,1,100,10,Seafood
Mayonnaise Sweet,5,74,185,Condiments
Noodles Spicy,5,82,11,Prepared Food
Frozen Pizza,-18,58,324,Frozen
Frozen Peas Local,-20,62,318,Frozen
Pear Imported,3,92,17,Fruit
Yogurt Sweet,5,81,21,Dairy
Frozen Pizza Local,-16,65,329,Frozen
Quinoa Spicy,22,62,203,Grains
Millet Sweet,18,60,197,Grains
Duck Spicy,1,92,2,Meat
Yogurt,2,80,23,Dairy
Fried Rice Imported,5,81,10,Prepared Food
Pork Premium,0,90,3,Meat
Kiwi Local,2,86,16,Fruit
Bun Sweet,20,63,4,Bakery
Frozen Pizza Sweet,-20,61,322,Frozen
Cod,-1,92,0,Seafood
Crab Premium,1,91,11,Seafood
Cod Sweet,-1,94,5,Seafood
Cabbage Fresh,1,90,12,Vegetable
